"nationality_code"|"nationality_name_th"|"nationality_name_en"|"last_upd_date"
"0106200108"|"พม่า"|"BURMESE"|"2020-08-01 17:15:04"
"0106200109"|"ฟิเจียน"|"FIJIAN"|"2020-08-01 17:15:04"
"0106200110"|"ฟินแลนด์"|"FINNISH"|"2020-08-01 17:15:04"
"0106200111"|"ฟิลิปปินส์"|"PHILIPPINE"|"2020-08-01 17:15:04"
"0106200112"|"ฝรั่งเศส"|"FRENCH"|"2020-08-01 17:15:04"
"0106200113"|"ภูฏาน"|"BHUTANESE"|"2020-08-01 17:15:04"
"0106200114"|"มองโกเลีย"|"MONGOLIAN"|"2020-08-01 17:15:04"
"0106200115"|"มอนเตเนโกร"|"MONTENEGRO"|"2020-08-01 17:15:04"
"0106200116"|"มอริเชียส"|"MAURITIAN"|"2020-08-01 17:15:04"
"0106200117"|"มอริเตเนีย"|"MAURITANIAN"|"2020-08-01 17:15:04"
"0106200118"|"มอลโดเวียน"|"MOLDAVIAN"|"2020-08-01 17:15:04"
"0106200119"|"มอลตา"|"MALTESE"|"2020-08-01 17:15:04"
"0106200120"|"มัลดีฟส์"|"MALDIVIAN"|"2020-08-01 17:15:04"
"0106200121"|"มาซิโดเนีย"|"OF THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA"|"2020-08-01 17:15:04"
"0106200122"|"มาลากาซี"|"MALAGASY"|"2020-08-01 17:15:04"
"0106200123"|"มาลาวี"|"MALAWIAN"|"2020-08-01 17:15:04"
"0106200124"|"มาลี"|"MALIAN"|"2020-08-01 17:15:04"
"0106200125"|"มาเลเซีย"|"MALAYSIAN"|"2020-08-01 17:15:04"
"0106200126"|"เม็กซิโก"|"MEXICAN"|"2020-08-01 17:15:04"
"0106200127"|"โมซัมบิก"|"MOZAMBICAN"|"2020-08-01 17:15:04"
"0106200128"|"โมนาโก"|"MONACAN"|"2020-08-01 17:15:04"
"0106200129"|"โมร็อกโค"|"MOROCCAN"|"2020-08-01 17:15:04"
"0106200130"|"ไมโครนีเซีย"|"OF THE FEDERATED STATES OF MICRONESIA"|"2020-08-01 17:15:04"
"0106200131"|"ยูโกสลาฟ"|"YUGOSLAV"|"2020-08-01 17:15:04"
"0106200132"|"ยูเครเนียน"|"UKRAINIAN"|"2020-08-01 17:15:05"
"0106200133"|"เยเมน"|"YEMENI"|"2020-08-01 17:15:05"
"0106200134"|"เยอรมัน"|"GERMAN"|"2020-08-01 17:15:05"
"0106200135"|"รวันดา"|"RWANDAN"|"2020-08-01 17:15:05"
"0106200136"|"รัสเซีย"|"RUSSIAN"|"2020-08-01 17:15:05"
"0106200137"|"โรมาเนีย"|"ROMANIAN"|"2020-08-01 17:15:05"
"0106200138"|"ลักเซมเบิร์ก"|"LUXEMBOURGISH"|"2020-08-01 17:15:05"
"0106200139"|"ลัตเวีย"|"LATVIAN"|"2020-08-01 17:15:05"
"0106200140"|"ลาว"|"LAOTIAN"|"2020-08-01 17:15:05"
"0106200141"|"ลิกเตนสไตน์"|"LIECHTENSTEINER"|"2020-08-01 17:15:05"
"0106200142"|"ลิทัวเนีย"|"LITHUANIAN"|"2020-08-01 17:15:05"
"0106200143"|"ลิเบีย"|"LIBYAN"|"2020-08-01 17:15:05"
"0106200144"|"เลโซโท"|"BOSOTHO"|"2020-08-01 17:15:05"
"0106200145"|"เลบานอน"|"LEBANESE"|"2020-08-01 17:15:05"
"0106200146"|"ไลบีเรีย"|"LIBERIAN"|"2020-08-01 17:15:05"
"0106200147"|"วานูอาตู"|"NI-VANUATU"|"2020-08-01 17:15:05"
"0106200148"|"เวเนซุเอลา"|"VENEZUELAN"|"2020-08-01 17:15:05"
"0106200149"|"เวียดนาม"|"VIETNAMESE"|"2020-08-01 17:15:05"
"0106200150"|"ศรีลังกา"|"SRI LANKAN"|"2020-08-01 17:15:05"
"0106200151"|"สเปน"|"SPANISH/SPANIARD"|"2020-08-01 17:15:05"
"0106200152"|"สโลวัค"|"SLOVAK"|"2020-08-01 17:15:05"
"0106200153"|"สโลวีน"|"SLOVENE"|"2020-08-01 17:15:05"
"0106200154"|"สวาซี"|"SWAZI"|"2020-08-01 17:15:05"
"0106200155"|"สวิส"|"SWISS"|"2020-08-01 17:15:05"
"0106200156"|"สวีเดน"|"SWEDISH"|"2020-08-01 17:15:05"
"0106200157"|"สหรัฐอาหรับเอมิเรตส์"|"ARAB EMIRATES"|"2020-08-01 17:15:05"
"0106200158"|"บริติช"|"BRITISH"|"2020-08-01 17:15:05"
"0106200159"|"สิงคโปร์"|"SINGAPOREAN"|"2020-08-01 17:15:05"
"0106200160"|"หมู่เกาะเคย์แมน"|"CHRISTMAS ISLAND"|"2020-08-01 17:15:05"
"0106200161"|"หมู่เกาะโซโลมอน"|"OF SOLOMON ISLANDS"|"2020-08-01 17:15:05"
"0106200162"|"หมู่เกาะมาร์แชลล์"|"OF THE MARSHALL ISLANDS"|"2020-08-01 17:15:05"
"0106200163"|"อเมริกัน"|"AMERICAN"|"2020-08-01 17:15:05"
"0106200164"|"ออสเตรเลีย"|"AUSTRALIAN"|"2020-08-01 17:15:05"
"0106200165"|"ออสเตรีย"|"AUSTRIAN"|"2020-08-01 17:15:05"
"0106200166"|"อันดอร์รา"|"ANDORRAN"|"2020-08-01 17:15:05"
"0106200167"|"อัฟกัน"|"AFGHAN"|"2020-08-01 17:15:05"
"0106200168"|"อาเซอร์ไบจาน"|"AZERBAIJANI"|"2020-08-01 17:15:05"
"0106200169"|"อาร์เจนตินา"|"ARGENTINE"|"2020-08-01 17:15:05"
"0106200170"|"อาร์เมเนีย"|"ARMENIAN"|"2020-08-01 17:15:05"
"0106200171"|"อิเควทอเรียลกินี"|"EQUATORIAL GUINEAN"|"2020-08-01 17:15:05"
"0106200172"|"อิตาลี"|"ITALIAN"|"2020-08-01 17:15:05"
"0106200173"|"อินเดีย"|"INDIAN"|"2020-08-01 17:15:05"
"0106200174"|"อินโดนีเซีย"|"INDONESIAN"|"2020-08-01 17:15:05"
"0106200175"|"อิรักคิ"|"IRAQI"|"2020-08-01 17:15:05"
"0106200176"|"อิสราเอล"|"ISRAELI"|"2020-08-01 17:15:05"
"0106200177"|"อิหร่าน"|"IRANIAN"|"2020-08-01 17:15:05"
"0106200178"|"อียิปต์"|"EGYPTIAN"|"2020-08-01 17:15:05"
"0106200179"|"อุซเบก"|"UZBEK"|"2020-08-01 17:15:05"
"0106200180"|"อุรุกวัย"|"URUGUAYAN"|"2020-08-01 17:15:05"
"0106200181"|"อูกันดา"|"UGANDAN"|"2020-08-01 17:15:05"
"0106200182"|"เอกวาดอร์"|"ECUADORIAN"|"2020-08-01 17:15:05"
"0106200183"|"เอธิโอเปีย"|"ETHIOPIAN"|"2020-08-01 17:15:05"
"0106200184"|"เอริเทรีย"|"ERITREAN"|"2020-08-01 17:15:05"
"0106200185"|"เอลซัลวาดอร์"|"SALVADORAN"|"2020-08-01 17:15:05"
"0106200186"|"เอสโตเนีย"|"ESTONEANS"|"2020-08-01 17:15:05"
"0106200187"|"แองโกลา"|"ANGOLAN"|"2020-08-01 17:15:05"
"0106200188"|"แอนติกาและบาร์บูดา"|"OF ANTIGUA AND BARBUDA"|"2020-08-01 17:15:05"
"0106200189"|"แอฟริกากลาง"|"CENTRAL AFRICAN"|"2020-08-01 17:15:05"
"0106200190"|"แอฟริกาใต้"|"SOUTH AFRICAN"|"2020-08-01 17:15:05"
"0106200191"|"แอลจีเรีย"|"ALGERIAN"|"2020-08-01 17:15:05"
"0106200192"|"แอลเบเนีย"|"ALBANIAN"|"2020-08-01 17:15:05"
"0106200193"|"โอมานิ"|"OMANI"|"2020-08-01 17:15:06"
"0106200194"|"ไอซ์แลนด์"|"ICELANDER"|"2020-08-01 17:15:06"
"0106200195"|"ไอร์ริช"|"IRISH"|"2020-08-01 17:15:06"
"0106200196"|"ฮ่องกง"|"HONG KONGESE"|"2020-08-01 17:15:06"
"0106200197"|"ฮอนดูรัส"|"HONDURAN"|"2020-08-01 17:15:06"
"0106200198"|"ฮังกาเรียน"|"HUNGARIAN"|"2020-08-01 17:15:06"
"0106200199"|"เฮติ"|"HAITIAN"|"2020-08-01 17:15:06"
"0106200200"|"แอนตาร์กติกา"|"ANTARCTICA"|"2020-08-01 17:15:06"
"0106200201"|"ปาเลสไตน์"|"PALESTINIAN TERRITORY, OCCUPIED"|"2020-08-01 17:15:06"
"0106200202"|"คลองปานามา"|"PANAMA CANAL ZONE"|"2020-08-01 17:15:06"
"0106200203"|"ติมอร์ตะวันออก"|"EAST TIMOR"|"2020-08-01 17:15:06"
"0106200204"|"ยูเอส ไมเนอร์"|"UNITED STATES MINOR OUTLYING ISLANDS"|"2020-08-01 17:15:06"
"0106299999"|"ไม่ระบุ"|"Unclassified"|"2020-08-01 17:15:06"
"0106200248"|"แซ็งปีแยร์และมีเกอลง"|"SAINT-PIERRAIS OR MIQUELONNAIS"|"2020-11-11 08:54:38"
"0106200256"|"วาลิสและฟูตูนา"|"WALLIS AND FUTUNA"|"2020-11-11 08:54:38"
"0106200215"|"แฟโร"|"FAROESE"|"2020-11-11 08:54:38"
"0106200257"|"ซาห์ราวี"|"SAHRAOUIAN"|"2020-11-19 23:00:49"
"0106200238"|"นิวแคลิโดเนีย"|"NEW CALEDONIAN"|"2020-11-11 08:54:38"
"0106200247"|"เซนต์มาร์ติน"|"SAINT-MARTINOISE"|"2020-11-11 08:54:38"
"0106200251"|"สวาลบาร์ด"|"SVALBARD"|"2020-11-11 08:54:38"
"0106200205"|"อเมริกันซามัว"|"AMERICAN SAMOAN"|"2020-11-11 08:54:38"
"0106200241"|"หมู่เกาะนอร์เทิร์นมาเรียนา"|"NORTHERN MARIANAN"|"2020-11-11 08:54:38"
"0106200244"|"รียูเนียน"|"RUNIONNAIS"|"2020-11-19 23:00:49"
"0106200231"|"บาโซโท"|"BASOTHO"|"2020-11-11 08:54:38"
"0106200213"|"หมู่เกาะคุก"|"COOK ISLAND"|"2020-11-11 08:54:38"
"0106200216"|"เฟรนช์เกียนา"|"French Guianese"|"2020-11-11 08:54:38"
"0106200217"|"เฟรนช์พอลินีเชีย"|"FRENCH POLYNESIAN"|"2020-11-11 08:54:38"
"0106200235"|"มายอต"|"MAHORAN"|"2020-11-19 23:00:49"
"0106200246"|"เซนต์เฮเลนา"|"SAINT HELENIAN"|"2020-11-11 08:54:38"
"0106200233"|"แมคกานีส"|"MACANESE"|"2020-11-11 08:54:38"
"0106200239"|"นีวเว"|"NIUEAN"|"2020-11-11 08:54:38"
"0106200249"|"เกาะเซาท์จอร์เจียและหมู่เกาะเซาท์แซนด์วิช"|"SOUTH GEORGIA OR SOUTH SANDWICH ISLANDS"|"2020-11-11 08:54:38"
"0106200218"|"เฟรนช์เซาเทิร์นและแอนตาร์กติกแลนดส์"|"FRENCH SOUTHERN TERRITORIES"|"2020-11-11 08:54:38"
"0106200221"|"กวาเดอลูป"|"GUADELOUPE"|"2020-11-11 08:54:38"
"0106200219"|"ยิบรอลตาร์"|"GIBRALTAR"|"2020-11-11 08:54:38"
"0106200240"|"เกาะนอร์ฟอล์ก"|"NORFOLK ISLAND"|"2020-11-11 08:54:38"
"0106200208"|"โบแนเรอ"|"BONAIRE"|"2020-11-11 08:54:38"
"0106200214"|"หมู่เกาะฟอร์คแลนด์ (มาลวินัส)"|"FALKLAND ISLAND"|"2020-11-19 23:00:49"
"0106200207"|"อารูบา"|"ARUBAN"|"2020-11-11 08:54:38"
"0106200220"|"กรีนแลนด์"|"GREENLANDIC"|"2020-11-11 08:54:38"
"0106200243"|"ปวยร์โตรีโก"|"PUERTO RICAN"|"2020-11-11 08:54:38"
"0106200245"|"เซนต์บาร์เลมี"|"BARTHLEMOIS"|"2020-11-19 23:00:49"
"0106200224"|"เกาะเฮิร์ดและหมู่เกาะแมกดอนัลด์"|"HEARD ISLAND OR MCDONALD ISLANDS"|"2020-11-11 08:54:38"
"0106200250"|"เซาท์ซูดาน"|"SOUTH SUDANESE"|"2020-11-11 08:54:38"
"0106200255"|"หมู่เกาะบริติชเวอร์จิน"|"U.S. VIRGIN ISLAND"|"2020-11-11 08:54:38"
"0106200237"|"มอนต์เซร์รัต"|"MONTSERRATIAN"|"2020-11-19 23:00:49"
"0106200212"|"หมู่เกาะโคโคส"|"COCOS ISLAND"|"2020-11-11 08:54:38"
"0106200227"|"หมู่เกาะแชนเนล"|"CHANNEL ISLAND"|"2020-11-11 08:54:38"
"0106200209"|"เกาะบูเวต"|"BOUVET ISLAND"|"2020-11-11 08:54:38"
"0106200253"|"โทเคอเลา"|"TOKELAUAN"|"2020-11-11 08:54:38"
"0106200242"|"หมู่เกาะพิตแคร์น"|"PITCAIRN ISLAND"|"2020-11-11 08:54:38"
"0106200206"|"แองกวิลลา"|"ANGUILLAN"|"2020-11-11 08:54:38"
"0106200254"|"หมู่เกาะเติกส์และเคคอส"|"TURKS AND CAICOS ISLAND"|"2020-11-11 08:54:38"
