"location_code"|"location_region_code"|"location_name_th"|"province_name_th"|"province_name_en"|"province_abbr_name_th"|"province_abbr_name_en"|"district_name_th"|"district_name_en"|"sub_district_name_th"|"sub_district_name_en"|"post_code"|"last_upd_date"
"0103800010"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงตลาดยอด"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงตลาดยอด"|"TALAT YOT"|"10200"|"2020-10-29 12:00:24"
"0103800011"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงชนะสงคราม"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงชนะสงคราม"|"CHANA SONGKHRAM"|"10200"|"2020-10-29 12:00:24"
"0103800012"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงบ้านพานถม"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงบ้านพานถม"|"BAN PHAN THOM"|"10200"|"2020-10-29 12:00:24"
"0103800013"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงบางขุนพรหม"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงบางขุนพรหม"|"BANG KHUN PHROM"|"10200"|"2020-10-29 12:00:24"
"0103800014"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงวัดสามพระยา"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงวัดสามพระยา"|"WAT SAM PHRAYA"|"10200"|"2020-10-29 12:00:24"
"0103800015"|"104900005 "|"กรุงเทพมหานคร เขตดุสิต"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตดุสิต"|"DUSIT"||||"2020-10-29 12:00:24"
"0103800016"|"104900005 "|"กรุงเทพมหานคร เขตดุสิต แขวงดุสิต"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตดุสิต"|"DUSIT"|"แขวงดุสิต"|"DUSIT"|"10300"|"2020-10-29 12:00:24"
"0103800017"|"104900005 "|"กรุงเทพมหานคร เขตดุสิต แขวงวชิรพยาบาล"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตดุสิต"|"DUSIT"|"แขวงวชิรพยาบาล"|"WACHIRAPHAYABAN"|"10300"|"2020-10-29 12:00:24"
"0103800018"|"104900005 "|"กรุงเทพมหานคร เขตดุสิต แขวงสวนจิตรลดา"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตดุสิต"|"DUSIT"|"แขวงสวนจิตรลดา"|"SUAN CHITTRALADA"|"10300"|"2020-10-29 12:00:24"
"0103800019"|"104900005 "|"กรุงเทพมหานคร เขตดุสิต แขวงสี่แยกมหานาค"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตดุสิต"|"DUSIT"|"แขวงสี่แยกมหานาค"|"SI YAEK MAHA NAK"|"10300"|"2020-10-29 12:00:24"
"0103800020"|"104900005 "|"กรุงเทพมหานคร เขตดุสิต แขวงถนนนครไชยศรี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตดุสิต"|"DUSIT"|"แขวงถนนนครไชยศรี"|"THANON NAKHON CHAI SI"|"10300"|"2020-10-29 12:00:24"
"0103800021"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"||||"2020-10-29 12:00:24"
"0103800022"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก แขวงกระทุ่มราย"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"|"แขวงกระทุ่มราย"|"KRATHUM RAI"|"10530"|"2020-10-29 12:00:24"
"0103800023"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก แขวงหนองจอก"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"|"แขวงหนองจอก"|"NONG CHOK"|"10530"|"2020-10-29 12:00:24"
"0103800024"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก แขวงคลองสิบ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"|"แขวงคลองสิบ"|"KHLONG SIP"|"10530"|"2020-10-29 12:00:24"
"0103800025"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก แขวงคลองสิบสอง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"|"แขวงคลองสิบสอง"|"KHLONG SIP SONG"|"10530"|"2020-10-29 12:00:24"
"0103800026"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก แขวงโคกแฝด"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"|"แขวงโคกแฝด"|"KHOK FAET"|"10530"|"2020-10-29 12:00:24"
"0103800027"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก แขวงคู้ฝั่งเหนือ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"|"แขวงคู้ฝั่งเหนือ"|"KHU FANG NUEA"|"10530"|"2020-10-29 12:00:24"
"0103800028"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก แขวงลำผักชี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"|"แขวงลำผักชี"|"LAM PHAK CHI"|"10530"|"2020-10-29 12:00:24"
"0103800029"|"104900005 "|"กรุงเทพมหานคร เขตหนองจอก แขวงลำต้อยติ่ง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตหนองจอก"|" NONG CHOK"|"แขวงลำต้อยติ่ง"|"LAM TOI TING"|"10530"|"2020-10-29 12:00:24"
"0103800030"|"104900005 "|"กรุงเทพมหานคร เขตบางรัก"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางรัก"|"BANG RAK"||||"2020-10-29 12:00:24"
"0103800031"|"104900005 "|"กรุงเทพมหานคร เขตบางรัก แขวงมหาพฤฒาราม"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางรัก"|"BANG RAK"|"แขวงมหาพฤฒาราม"|"MAHA PHRUETTHARAM"|"10500"|"2020-10-29 12:00:24"
"0103800032"|"104900005 "|"กรุงเทพมหานคร เขตบางรัก แขวงสีลม"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางรัก"|"BANG RAK"|"แขวงสีลม"|"SI LOM"|"10500"|"2020-10-29 12:00:24"
"0103800033"|"104900005 "|"กรุงเทพมหานคร เขตบางรัก แขวงสุริยวงศ์"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางรัก"|"BANG RAK"|"แขวงสุริยวงศ์"|"SURIYAWONG"|"10500"|"2020-10-29 12:00:24"
"0103800034"|"104900005 "|"กรุงเทพมหานคร เขตบางรัก แขวงบางรัก"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางรัก"|"BANG RAK"|"แขวงบางรัก"|"BANG RAK"|"10500"|"2020-10-29 12:00:24"
"0103800035"|"104900005 "|"กรุงเทพมหานคร เขตบางรัก แขวงสี่พระยา"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางรัก"|"BANG RAK"|"แขวงสี่พระยา"|"SI PHRAYA"|"10500"|"2020-10-29 12:00:24"
"0103800036"|"104900005 "|"กรุงเทพมหานคร เขตบางเขน"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางเขน"|"BANG KHEN"||||"2020-10-29 12:00:24"
"0103800037"|"104900005 "|"กรุงเทพมหานคร เขตบางเขน แขวงอนุสาวรีย์"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางเขน"|"BANG KHEN"|"แขวงอนุสาวรีย์"|"ANUSAWARI"|"10220"|"2020-10-29 12:00:24"
"0103800038"|"104900005 "|"กรุงเทพมหานคร เขตบางเขน แขวงท่าแร้ง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางเขน"|"BANG KHEN"|"แขวงท่าแร้ง"|"THA RAENG"|"10220"|"2020-10-29 12:00:24"
"0103800039"|"104900005 "|"กรุงเทพมหานคร เขตบางกะปิ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางกะปิ"|"BANG KAPI"||||"2020-10-29 12:00:24"
"0103800040"|"104900005 "|"กรุงเทพมหานคร เขตบางกะปิ แขวงคลองจั่น"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางกะปิ"|"BANG KAPI"|"แขวงคลองจั่น"|"KHLONG CHAN"|"10240"|"2020-10-29 12:00:24"
"0103800041"|"104900005 "|"กรุงเทพมหานคร เขตบางกะปิ แขวงหัวหมาก"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางกะปิ"|"BANG KAPI"|"แขวงหัวหมาก"|"HUA MAK"|"10240"|"2020-10-29 12:00:24"
"0103800042"|"104900005 "|"กรุงเทพมหานคร เขตปทุมวัน"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตปทุมวัน"|"PATHUM WAN"||||"2020-10-29 12:00:24"
"0103800043"|"104900005 "|"กรุงเทพมหานคร เขตปทุมวัน แขวงรองเมือง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตปทุมวัน"|"PATHUM WAN"|"แขวงรองเมือง"|"RONG MUEANG"|"10330"|"2020-10-29 12:00:24"
"0103800044"|"104900005 "|"กรุงเทพมหานคร เขตปทุมวัน แขวงวังใหม่"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตปทุมวัน"|"PATHUM WAN"|"แขวงวังใหม่"|"WANG MAI"|"10330"|"2020-10-29 12:00:24"
"0103800045"|"104900005 "|"กรุงเทพมหานคร เขตปทุมวัน แขวงปทุมวัน"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตปทุมวัน"|"PATHUM WAN"|"แขวงปทุมวัน"|"PATHUM WAN"|"10330"|"2020-10-29 12:00:25"
"0103800046"|"104900005 "|"กรุงเทพมหานคร เขตปทุมวัน แขวงลุมพินี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตปทุมวัน"|"PATHUM WAN"|"แขวงลุมพินี"|"LUMPHINI"|"10330"|"2020-10-29 12:00:25"
"0103800047"|"104900005 "|"กรุงเทพมหานคร เขตป้อมปราบศัตรูพ่าย"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตป้อมปราบศัตรูพ่าย"|"POM PRAP SATTRU PHAI"||||"2020-10-29 12:00:25"
"0103800048"|"104900005 "|"กรุงเทพมหานคร เขตป้อมปราบศัตรูพ่าย แขวงป้อมปราบ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตป้อมปราบศัตรูพ่าย"|"POM PRAP SATTRU PHAI"|"แขวงป้อมปราบ"|"POM PRAP"|"10100"|"2020-10-29 12:00:25"
"0103800049"|"104900005 "|"กรุงเทพมหานคร เขตป้อมปราบศัตรูพ่าย แขวงวัดเทพศิรินทร์"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตป้อมปราบศัตรูพ่าย"|"POM PRAP SATTRU PHAI"|"แขวงวัดเทพศิรินทร์"|"WAT THEPSIRIN"|"10100"|"2020-10-29 12:00:25"
"0103800050"|"104900005 "|"กรุงเทพมหานคร เขตป้อมปราบศัตรูพ่าย แขวงคลองมหานาค"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตป้อมปราบศัตรูพ่าย"|"POM PRAP SATTRU PHAI"|"แขวงคลองมหานาค"|"KHLONG MAHANAK"|"10100"|"2020-10-29 12:00:25"
"0103800051"|"104900005 "|"กรุงเทพมหานคร เขตป้อมปราบศัตรูพ่าย แขวงบ้านบาตร"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตป้อมปราบศัตรูพ่าย"|"POM PRAP SATTRU PHAI"|"แขวงบ้านบาตร"|"BAN BAT"|"10100"|"2020-10-29 12:00:25"
"0103800052"|"104900005 "|"กรุงเทพมหานคร เขตป้อมปราบศัตรูพ่าย แขวงวัดโสมนัส"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตป้อมปราบศัตรูพ่าย"|"POM PRAP SATTRU PHAI"|"แขวงวัดโสมนัส"|"WAT SOMMANAT"|"10100"|"2020-10-29 12:00:25"
"0103800053"|"104900005 "|"กรุงเทพมหานคร เขตพระโขนง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระโขนง"|"PHRA KHANONG"||||"2020-10-29 12:00:25"
"0103800054"|"104900005 "|"กรุงเทพมหานคร เขตพระโขนง แขวงบางจาก"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระโขนง"|"PHRA KHANONG"|"แขวงบางจาก"|"BANG CHAK"|"10260"|"2020-10-29 12:00:25"
"0103800055"|"104900005 "|"กรุงเทพมหานคร เขตมีนบุรี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตมีนบุรี"|"MIN BURI"||||"2020-10-29 12:00:25"
"0103800056"|"104900005 "|"กรุงเทพมหานคร เขตมีนบุรี แขวงมีนบุรี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตมีนบุรี"|"MIN BURI"|"แขวงมีนบุรี"|"MIN BURI"|"10510"|"2020-10-29 12:00:25"
"0103800057"|"104900005 "|"กรุงเทพมหานคร เขตมีนบุรี แขวงแสนแสบ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตมีนบุรี"|"MIN BURI"|"แขวงแสนแสบ"|"SAEN SAEP"|"10510"|"2020-10-29 12:00:25"
"0103800058"|"104900005 "|"กรุงเทพมหานคร เขตลาดกระบัง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตลาดกระบัง"|"LAT KRABANG"||||"2020-10-29 12:00:25"
"0103800059"|"104900005 "|"กรุงเทพมหานคร เขตลาดกระบัง แขวงลาดกระบัง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตลาดกระบัง"|"LAT KRABANG"|"แขวงลาดกระบัง"|"LAT KRABANG"|"10520"|"2020-10-29 12:00:25"
"0103800060"|"104900005 "|"กรุงเทพมหานคร เขตลาดกระบัง แขวงคลองสองต้นนุ่น"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตลาดกระบัง"|"LAT KRABANG"|"แขวงคลองสองต้นนุ่น"|"KHLONG SONG TON NUN"|"10520"|"2020-10-29 12:00:25"
"0103800061"|"104900005 "|"กรุงเทพมหานคร เขตลาดกระบัง แขวงคลองสามประเวศ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตลาดกระบัง"|"LAT KRABANG"|"แขวงคลองสามประเวศ"|"KHLONG SAM PRAWET"|"10520"|"2020-10-29 12:00:25"
"0103800062"|"104900005 "|"กรุงเทพมหานคร เขตลาดกระบัง แขวงลำปลาทิว"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตลาดกระบัง"|"LAT KRABANG"|"แขวงลำปลาทิว"|"LAM PLA THIO"|"10520"|"2020-10-29 12:00:25"
"0103800063"|"104900005 "|"กรุงเทพมหานคร เขตลาดกระบัง แขวงทับยาว"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตลาดกระบัง"|"LAT KRABANG"|"แขวงทับยาว"|"THAP YAO"|"10520"|"2020-10-29 12:00:25"
"0103800064"|"104900005 "|"กรุงเทพมหานคร เขตลาดกระบัง แขวงขุมทอง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตลาดกระบัง"|"LAT KRABANG"|"แขวงขุมทอง"|"KHUM THONG"|"10520"|"2020-10-29 12:00:25"
"0103800065"|"104900005 "|"กรุงเทพมหานคร เขตยานนาวา"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตยานนาวา"|"YAN NAWA"||||"2020-10-29 12:00:25"
"0103800066"|"104900005 "|"กรุงเทพมหานคร เขตยานนาวา แขวงช่องนนทรี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตยานนาวา"|"YAN NAWA"|"แขวงช่องนนทรี"|"CHONG NONSI"|"10120"|"2020-10-29 12:00:25"
"0103800067"|"104900005 "|"กรุงเทพมหานคร เขตยานนาวา แขวงบางโพงพาง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตยานนาวา"|"YAN NAWA"|"แขวงบางโพงพาง"|"BANG PHONG PANG"|"10120"|"2020-10-29 12:00:25"
"0103800068"|"104900005 "|"กรุงเทพมหานคร เขตสัมพันธวงศ์"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตสัมพันธวงศ์"|"SAMPHANTHAWONG"||||"2020-10-29 12:00:25"
"0103800069"|"104900005 "|"กรุงเทพมหานคร เขตสัมพันธวงศ์ แขวงจักรวรรดิ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตสัมพันธวงศ์"|"SAMPHANTHAWONG"|"แขวงจักรวรรดิ"|"CHAKKRAWAT"|"10100"|"2020-10-29 12:00:25"
"0103800070"|"104900005 "|"กรุงเทพมหานคร เขตสัมพันธวงศ์ แขวงสัมพันธวงศ์"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตสัมพันธวงศ์"|"SAMPHANTHAWONG"|"แขวงสัมพันธวงศ์"|"SAMPHANTHAWONG"|"10100"|"2020-10-29 12:00:25"
"0103800071"|"104900005 "|"กรุงเทพมหานคร เขตสัมพันธวงศ์ แขวงตลาดน้อย"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตสัมพันธวงศ์"|"SAMPHANTHAWONG"|"แขวงตลาดน้อย"|"TALAT NOI"|"10100"|"2020-10-29 12:00:25"
"0103800072"|"104900005 "|"กรุงเทพมหานคร เขตพญาไท"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพญาไท"|"PHAYA THAI"||||"2020-10-29 12:00:25"
"0103800073"|"104900005 "|"กรุงเทพมหานคร เขตพญาไท แขวงสามเสนใน"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพญาไท"|"PHAYA THAI"|"แขวงสามเสนใน"|"SAM SEN NAI"|"10400"|"2020-10-29 12:00:25"
"0103800074"|"104900005 "|"กรุงเทพมหานคร เขตธนบุรี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตธนบุรี"|"THON BURI"||||"2020-10-29 12:00:25"
"0103800075"|"104900005 "|"กรุงเทพมหานคร เขตธนบุรี แขวงวัดกัลยาณ์"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตธนบุรี"|"THON BURI"|"แขวงวัดกัลยาณ์"|"WAT KANLAYA"|"10600"|"2020-10-29 12:00:25"
"0103800076"|"104900005 "|"กรุงเทพมหานคร เขตธนบุรี แขวงหิรัญรูจี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตธนบุรี"|"THON BURI"|"แขวงหิรัญรูจี"|"HIRAN RUCHI"|"10600"|"2020-10-29 12:00:25"
"0103800077"|"104900005 "|"กรุงเทพมหานคร เขตธนบุรี แขวงบางยี่เรือ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตธนบุรี"|"THON BURI"|"แขวงบางยี่เรือ"|"BANG YI RUEA"|"10600"|"2020-10-29 12:00:25"
"0103800078"|"104900005 "|"กรุงเทพมหานคร เขตธนบุรี แขวงบุคคโล"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตธนบุรี"|"THON BURI"|"แขวงบุคคโล"|"BUKKHALO"|"10600"|"2020-10-29 12:00:25"
"0103800079"|"104900005 "|"กรุงเทพมหานคร เขตธนบุรี แขวงตลาดพลู"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตธนบุรี"|"THON BURI"|"แขวงตลาดพลู"|"TALAT PHLU"|"10600"|"2020-10-29 12:00:25"
"0103800080"|"104900005 "|"กรุงเทพมหานคร เขตธนบุรี แขวงดาวคะนอง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตธนบุรี"|"THON BURI"|"แขวงดาวคะนอง"|"DAO KHANONG"|"10600"|"2020-10-29 12:00:25"
"0103800081"|"104900005 "|"กรุงเทพมหานคร เขตธนบุรี แขวงสำเหร่"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตธนบุรี"|"THON BURI"|"แขวงสำเหร่"|"SAMRE"|"10600"|"2020-10-29 12:00:25"
"0103800082"|"104900005 "|"กรุงเทพมหานคร เขตบางกอกใหญ่"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางกอกใหญ่"|"BANGKOK YAI"||||"2020-10-29 12:00:25"
"0103800083"|"104900005 "|"กรุงเทพมหานคร เขตบางกอกใหญ่ แขวงวัดอรุณ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางกอกใหญ่"|"BANGKOK YAI"|"แขวงวัดอรุณ"|"WAT ARUN"|"10600"|"2020-10-29 12:00:25"
"0103800084"|"104900005 "|"กรุงเทพมหานคร เขตบางกอกใหญ่ แขวงวัดท่าพระ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางกอกใหญ่"|"BANGKOK YAI"|"แขวงวัดท่าพระ"|"WAT THA PHRA"|"10600"|"2020-10-29 12:00:25"
"0103800085"|"104900005 "|"กรุงเทพมหานคร เขตห้วยขวาง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตห้วยขวาง"|"HUAI KHWANG"||||"2020-10-29 12:00:25"
"0103800086"|"104900005 "|"กรุงเทพมหานคร เขตห้วยขวาง แขวงห้วยขวาง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตห้วยขวาง"|"HUAI KHWANG"|"แขวงห้วยขวาง"|"HUAI KHWANG"|"10310"|"2020-10-29 12:00:25"
"0103800087"|"104900005 "|"กรุงเทพมหานคร เขตห้วยขวาง แขวงบางกะปิ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตห้วยขวาง"|"HUAI KHWANG"|"แขวงบางกะปิ"|"BANG KAPI"|"10310"|"2020-10-29 12:00:25"
"0103800088"|"104900005 "|"กรุงเทพมหานคร เขตห้วยขวาง แขวงสามเสนนอก"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตห้วยขวาง"|"HUAI KHWANG"|"แขวงสามเสนนอก"|"SAM SEN NOK"|"10310"|"2020-10-29 12:00:25"
"0103800089"|"104900005 "|"กรุงเทพมหานคร เขตคลองสาน"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตคลองสาน"|"KHLONG SAN"||||"2020-10-29 12:00:25"
"0103800090"|"104900005 "|"กรุงเทพมหานคร เขตคลองสาน แขวงสมเด็จเจ้าพระยา"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตคลองสาน"|"KHLONG SAN"|"แขวงสมเด็จเจ้าพระยา"|"SOMDET CHAO PHRAYA"|"10600"|"2020-10-29 12:00:25"
"0103800091"|"104900005 "|"กรุงเทพมหานคร เขตคลองสาน แขวงคลองสาน"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตคลองสาน"|"KHLONG SAN"|"แขวงคลองสาน"|"KHLONG SAN"|"10600"|"2020-10-29 12:00:25"
"0103800092"|"104900005 "|"กรุงเทพมหานคร เขตคลองสาน แขวงบางลำภูล่าง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตคลองสาน"|"KHLONG SAN"|"แขวงบางลำภูล่าง"|"BANG LAM PHU LANG"|"10600"|"2020-10-29 12:00:25"
"0103800093"|"104900005 "|"กรุงเทพมหานคร เขตคลองสาน แขวงคลองต้นไทร"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตคลองสาน"|"KHLONG SAN"|"แขวงคลองต้นไทร"|"KHLONG TON SAI"|"10600"|"2020-10-29 12:00:25"
"0103800094"|"104900005 "|"กรุงเทพมหานคร เขตตลิ่งชัน"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตตลิ่งชัน"|"TALING CHAN"||||"2020-10-29 12:00:25"
"0103800095"|"104900005 "|"กรุงเทพมหานคร เขตตลิ่งชัน แขวงคลองชักพระ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตตลิ่งชัน"|"TALING CHAN"|"แขวงคลองชักพระ"|"KHLONG CHAK PHRA"|"10170"|"2020-10-29 12:00:25"
"0103800096"|"104900005 "|"กรุงเทพมหานคร เขตตลิ่งชัน แขวงตลิ่งชัน"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตตลิ่งชัน"|"TALING CHAN"|"แขวงตลิ่งชัน"|"TALING CHAN"|"10170"|"2020-10-29 12:00:25"
"0103800097"|"104900005 "|"กรุงเทพมหานคร เขตตลิ่งชัน แขวงฉิมพลี"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตตลิ่งชัน"|"TALING CHAN"|"แขวงฉิมพลี"|"CHIM PHLI"|"10170"|"2020-10-29 12:00:25"
"0103800098"|"104900005 "|"กรุงเทพมหานคร เขตตลิ่งชัน แขวงบางพรม"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตตลิ่งชัน"|"TALING CHAN"|"แขวงบางพรม"|"BANG PHROM"|"10170"|"2020-10-29 12:00:25"
